LEAGUE	Player	win%	O/U	line #	stat	win:lose	Success?
NBA	Theo Maledon	0.9069767441860465	UNDER	8.5	ast	WIN	9.75	1
NBA	Shake Milton	0.9066666666666666	UNDER	24.5	pts+ast	LOSE	9.714285714285714	0
NBA	Shake Milton	0.9066666666666666	UNDER	28.5	pts+trb+ast	LOSE	9.714285714285714	0
NBA	Ricky Rubio	0.90625	UNDER	9.5	pts	WIN	9.666666666666666	1
NBA	Kris Dunn	0.9047619047619048	UNDER	9.5	ast	WIN	9.5	1
NBA	Kris Dunn	0.9047619047619048	UNDER	28.5	pts+ast	LOSE	9.5	0
NBA	Kris Dunn	0.9047619047619048	UNDER	25.5	pts+trb	LOSE	9.5	0
NBA	Kris Dunn	0.9047619047619048	UNDER	35.5	pts+trb+ast	LOSE	9.5	0
NBA	Corey Kispert	0.9041095890410958	UNDER	17.5	pts	LOSE	9.428571428571429	0
NBA	Corey Kispert	0.9041095890410958	UNDER	19.5	pts+ast	WIN	9.428571428571429	1
NBA	Blake Griffin	0.9	UNDER	9.5	pts	WIN	9.0	1
NBA	Blake Griffin	0.9	UNDER	12.5	pts+ast	WIN	9.0	1
NBA	Blake Griffin	0.9	UNDER	19.5	pts+trb+ast	WIN	9.0	1
NBA	Blake Griffin	0.875	UNDER	7	trb	WIN	8.75	1
NBA	Jock Landale	0.8970588235294118	UNDER	14.5	pts	LOSE	8.714285714285715	0
NBA	Shaedon Sharpe	0.8734177215189873	UNDER	5	trb	LOSE	8.625	0
NBA	Tyler Herro	0.8939393939393939	OVER	15.5	pts+trb	LOSE	8.428571428571429	0
NBA	Shake Milton	0.88	UNDER	16	pts	LOSE	8.25	0
NBA	Tyler Herro	0.8636363636363636	OVER	19	pts+trb+ast	LOSE	8.142857142857142	0
NBA	Jaden Ivey	0.8904109589041096	UNDER	29.5	pts+ast	WIN	8.125	1
NBA	Sam Hauser	0.8227848101265823	UNDER	5	trb	EVEN	8.125	0.5
NBA	Mike Muscala	0.8888888888888888	UNDER	11.5	pts	LOSE	8.0	0
NBA	Mike Muscala	0.8888888888888888	UNDER	13.5	pts+ast	LOSE	8.0	0
NBA	Mike Muscala	0.8888888888888888	UNDER	19.5	pts+trb+ast	LOSE	8.0	0
NBA	Corey Kispert	0.863013698630137	UNDER	21	pts+trb	EVEN	7.875000000000001	0.5
NBA	JT Thor	0.8823529411764706	UNDER	1.5	fg3	WIN	7.5	1
NBA	JT Thor	0.8823529411764706	UNDER	1.5	tov	LOSE	7.5	0
NBA	Lamar Stevens	0.8524590163934426	UNDER	10	pts	WIN	7.428571428571428	1
NBA	Shake Milton	0.88	UNDER	20.5	pts+trb	LOSE	7.333333333333334	0
NBA	Tyler Herro	0.8787878787878788	OVER	15.5	pts+ast	LOSE	7.25	0
NBA	Corey Kispert	0.8767123287671232	UNDER	22.5	pts+trb+ast	WIN	7.111111111111111	1
NBA	Jaden Ivey	0.8767123287671232	UNDER	33.5	pts+trb+ast	WIN	7.111111111111111	1
NBA	Ricky Rubio	0.875	UNDER	6.5	ast	LOSE	7.0	0
NBA	Jaden Springer	0.8666666666666667	UNDER	1.5	blk+stl	WIN	6.5	1
NBA	Mike Muscala	0.7222222222222222	UNDER	6	trb	LOSE	6.5	0
NBA	Jarrett Allen	0.8656716417910447	OVER	6.5	trb	LOSE	6.444444444444444	0
NBA	Jaden McDaniels	0.8636363636363636	UNDER	1.5	blk+stl	LOSE	6.333333333333334	0
NBA	Jaden McDaniels	0.8636363636363636	UNDER	12.5	pts	WIN	6.333333333333334	1
NBA	Jaden McDaniels	0.8636363636363636	UNDER	14.5	pts+ast	WIN	6.333333333333334	1
NBA	Jalen McDaniels	0.8636363636363636	UNDER	1.5	fg3	WIN	6.333333333333334	1
NBA	Jalen McDaniels	0.8636363636363636	UNDER	1.5	tov	WIN	6.333333333333334	1
NBA	Onyeka Okongwu	0.8607594936708861	UNDER	25.5	pts+trb+ast	WIN	6.1818181818181825	1
NBA	Onyeka Okongwu	0.8354430379746836	UNDER	24	pts+trb	WIN	6.0	1
NBA	Blake Griffin	0.85	UNDER	16.5	pts+trb	WIN	5.666666666666667	1
NBA	Jaden Ivey	0.8493150684931506	UNDER	2.5	fg3	WIN	5.636363636363637	1
NBA	Jaden Ivey	0.8493150684931506	UNDER	22.5	pts	WIN	5.636363636363637	1
NBA	Tyler Herro	0.8484848484848485	OVER	12.5	pts	LOSE	5.6	0
NBA	Onyeka Okongwu	0.8481012658227848	UNDER	15.5	pts	WIN	5.583333333333333	1
NBA	Jordan Goodwin	0.819672131147541	UNDER	6	trb	WIN	5.555555555555556	1
NBA	Josh Okogie	0.8450704225352113	UNDER	16.5	pts+ast	WIN	5.454545454545455	1
NBA	Onyeka Okongwu	0.8227848101265823	UNDER	16	pts+ast	WIN	5.416666666666667	1
NBA	Shake Milton	0.84	UNDER	1.5	fg3	LOSE	5.25	0
NBA	Josh Okogie	0.8028169014084507	UNDER	8	trb+ast	LOSE	5.1818181818181825	0
NBA	Immanuel Quickley	0.8375	UNDER	30.5	pts+trb+ast	LOSE	5.153846153846154	0
NBA	Evan Mobley	0.8333333333333334	OVER	6.5	trb	LOSE	5.000000000000001	0
NBA	Mike Muscala	0.8333333333333334	UNDER	17.5	pts+trb	LOSE	5.000000000000001	0
NBA	Payton Pritchard	0.9787234042553191	UNDER	17.5	pts	LOSE	46.0	0
NBA	Payton Pritchard	0.9787234042553191	UNDER	22.5	pts+ast	LOSE	46.0	0
NBA	Payton Pritchard	0.9787234042553191	UNDER	21.5	pts+trb	LOSE	46.0	0
NBA	Payton Pritchard	0.9787234042553191	UNDER	27.5	pts+trb+ast	LOSE	46.0	0
NBA	Killian Hayes	0.6533333333333333	UNDER	2	ft	LOSE	4.9	0
NBA	Immanuel Quickley	0.825	UNDER	26.5	pts+ast	LOSE	4.714285714285714	0
NBA	Immanuel Quickley	0.825	UNDER	26.5	pts+trb	LOSE	4.714285714285714	0
NBA	Shake Milton	0.7466666666666667	UNDER	4	trb	WIN	4.666666666666667	1
NBA	Jaden Ivey	0.821917808219178	UNDER	26.5	pts+trb	WIN	4.615384615384615	1
NBA	Cory Joseph	0.819672131147541	UNDER	13.5	pts+trb	WIN	4.545454545454546	1
NBA	Josh Okogie	0.8169014084507042	UNDER	13.5	pts	WIN	4.461538461538462	1
NBA	Josh Okogie	0.8169014084507042	UNDER	21.5	pts+trb+ast	LOSE	4.461538461538462	0
NBA	Dean Wade	0.813953488372093	UNDER	7.5	pts	LOSE	4.375	0
NBA	Onyeka Okongwu	0.7215189873417721	UNDER	9	trb	EVEN	4.071428571428571	0.5
NBA	Immanuel Quickley	0.8	UNDER	21.5	pts	LOSE	4.0	0
NBA	Sam Hauser	0.9746835443037974	UNDER	8.5	trb+ast	LOSE	38.5	0
NBA	Jock Landale	0.9705882352941176	UNDER	26.5	pts+trb+ast	WIN	33.0	1
NBA	Josh Okogie	0.7887323943661971	UNDER	18.5	pts+trb	LOSE	3.733333333333333	0
NBA	Jordan Goodwin	0.7868852459016393	UNDER	1.5	stl	LOSE	3.6923076923076925	0
NBA	Onyeka Okongwu	0.7848101265822784	UNDER	10.5	trb+ast	LOSE	3.6470588235294112	0
NBA	Mike Muscala	0.7777777777777778	UNDER	0.5	blk	WIN	3.5000000000000004	1
NBA	Blake Griffin	0.775	UNDER	0.5	blk	WIN	3.4444444444444446	1
NBA	Lamar Stevens	0.7213114754098361	UNDER	5	trb	EVEN	3.384615384615385	0.5
NBA	Quentin Grimes	0.7714285714285715	UNDER	14.5	pts	LOSE	3.3750000000000004	0
NBA	Jaden Ivey	0.7397260273972602	UNDER	7	ast	WIN	3.375	1
NBA	Theo Maledon	0.7674418604651163	UNDER	4.5	trb	LOSE	3.3000000000000003	0
NBA	Jock Landale	0.7647058823529411	UNDER	0.5	stl	WIN	3.25	1
NBA	Immanuel Quickley	0.7625	UNDER	4.5	ast	LOSE	3.2105263157894735	0
NBA	Josh Okogie	0.7183098591549296	UNDER	5	trb	LOSE	3.1875	0
NBA	Jalen Duren	0.7575757575757576	UNDER	12.5	pts	WIN	3.125	1
NBA	Jalen Duren	0.7575757575757576	UNDER	14.5	pts+ast	WIN	3.125	1
NBA	Quentin Grimes	0.7571428571428571	UNDER	18.5	pts+trb	LOSE	3.1176470588235294	0
NBA	Quentin Grimes	0.7571428571428571	UNDER	21.5	pts+trb+ast	LOSE	3.1176470588235294	0
NBA	Alperen Sengun	0.7567567567567568	UNDER	15.5	trb+ast	LOSE	3.111111111111111	0
NBA	Bryce McGowens	0.7555555555555555	UNDER	0.5	stl	LOSE	3.090909090909091	0
NBA	Bryce McGowens	0.7555555555555555	UNDER	3.5	trb	LOSE	3.090909090909091	0
NBA	Cory Joseph	0.7540983606557377	UNDER	2.5	trb	LOSE	3.0666666666666664	0
NBA	Jaden Ivey	0.7534246575342466	UNDER	11.5	trb+ast	WIN	3.055555555555556	1
NBA	Svi Mykhailiuk	0.75	UNDER	16.5	pts	WIN	3.0	1
NBA	Svi Mykhailiuk	0.75	UNDER	21.5	pts+ast	LOSE	3.0	0
NBA	Svi Mykhailiuk	0.75	UNDER	20.5	pts+trb	LOSE	3.0	0
NBA	Svi Mykhailiuk	0.75	UNDER	24.5	pts+trb+ast	LOSE	3.0	0
NBA	Svi Mykhailiuk	0.75	UNDER	3.5	trb	LOSE	3.0	0
NBA	Svi Mykhailiuk	0.75	UNDER	8.5	trb+ast	LOSE	3.0	0
NBA	Jordan Goodwin	0.9672131147540983	UNDER	6.5	ast	WIN	29.499999999999996	1
NBA	Sam Hauser	0.9620253164556962	UNDER	24.5	pts+trb+ast	LOSE	25.333333333333332	0
NBA	Raul Neto	0.9574468085106383	UNDER	5.5	ast	LOSE	22.5	0
NBA	JT Thor	0.9558823529411765	UNDER	11.5	pts	WIN	21.666666666666668	1
NBA	Jock Landale	0.9558823529411765	UNDER	17.5	pts+ast	WIN	21.666666666666668	1
NBA	Jock Landale	0.9558823529411765	UNDER	23.5	pts+trb	WIN	21.666666666666668	1
NBA	Jock Landale	0.9558823529411765	UNDER	11.5	trb+ast	WIN	21.666666666666668	1
NBA	Bryce McGowens	0.9555555555555556	UNDER	15.5	pts+trb	LOSE	21.5	0
NBA	Bryce McGowens	0.9555555555555556	UNDER	18.5	pts+trb+ast	LOSE	21.5	0
NBA	Bryce McGowens	0.9333333333333333	UNDER	12	pts	LOSE	21.0	0
NBA	Obi Toppin	0.9545454545454546	UNDER	20.5	pts+trb	LOSE	21.0	0
NBA	Theo Maledon	0.9534883720930233	UNDER	16.5	pts	LOSE	20.5	0
NBA	Kris Dunn	0.9523809523809523	UNDER	16	trb+ast	LOSE	20.0	0
NBA	Immanuel Quickley	0.7	UNDER	9	trb+ast	LOSE	2.9473684210526314	0
NBA	Dean Wade	0.7441860465116279	UNDER	4.5	trb	WIN	2.9090909090909087	1
NBA	Evan Mobley	0.7435897435897436	OVER	12.5	pts	LOSE	2.9000000000000004	0
NBA	Torrey Craig	0.7435897435897436	UNDER	12.5	pts+ast	WIN	2.9000000000000004	1
NBA	Quentin Grimes	0.7428571428571429	UNDER	17.5	pts+ast	LOSE	2.8888888888888893	0
NBA	Obi Toppin	0.7424242424242424	UNDER	0.5	stl	LOSE	2.8823529411764706	0
