LEAGUE	Player	win%	O/U	line #	stat	win:lose ratio
NBA	Killian Hayes	0.7066666666666667	UNDER	13.5	pts	2.409090909090909
NBA	Torrey Craig	0.7051282051282052	UNDER	18.5	pts+trb+ast	2.391304347826087
NBA	Alperen Sengun	0.7027027027027027	UNDER	10.5	trb	2.3636363636363638
NBA	Austin Reaves	0.6984126984126984	UNDER	4.5	ast	2.3157894736842106
NBA	Austin Reaves	0.6984126984126984	UNDER	16.5	pts	2.3157894736842106
NBA	Austin Reaves	0.6984126984126984	UNDER	21.5	pts+ast	2.3157894736842106
NBA	Austin Reaves	0.6984126984126984	UNDER	24.5	pts+trb+ast	2.3157894736842106
NBA	De'Andre Hunter	0.696969696969697	OVER	18.5	pts+trb+ast	2.3000000000000003
NBA	Jalen Duren	0.696969696969697	UNDER	22.5	pts+trb	2.3000000000000003
NBA	Jarred Vanderbilt	0.6956521739130435	OVER	0.5	tov	2.2857142857142856
NBA	Killian Hayes	0.6933333333333334	UNDER	20.5	pts+ast	2.2608695652173916
NBA	Killian Hayes	0.6933333333333334	UNDER	10.5	trb+ast	2.2608695652173916
NBA	Torrey Craig	0.6923076923076923	UNDER	9.5	pts	2.25
NBA	Torrey Craig	0.6923076923076923	UNDER	16.5	pts+trb	2.25
NBA	Donte DiVincenzo	0.6901408450704225	UNDER	15.5	pts+ast	2.2272727272727275
NBA	Svi Mykhailiuk	0.6875	UNDER	4.5	ast	2.2
NBA	LeBron James	0.6851851851851852	OVER	32.5	pts+trb	2.1764705882352944
NBA	LeBron James	0.6851851851851852	OVER	39.5	pts+trb+ast	2.1764705882352944
NBA	Killian Hayes	0.5866666666666667	UNDER	7	ast	2.095238095238095
NBA	Blake Griffin	0.675	UNDER	0.5	stl	2.076923076923077
NBA	Corey Kispert	0.6712328767123288	UNDER	1.5	ast	2.041666666666667
NBA	De'Andre Hunter	0.6666666666666666	OVER	13.5	pts	2.0
NBA	De'Andre Hunter	0.6666666666666666	OVER	17.5	pts+trb	2.0
NBA	Jalen Green	0.64	UNDER	30	pts+ast	2.0
NBA	James Wiseman	0.6666666666666666	OVER	12.5	pts+ast	2.0
NBA	RJ Barrett	0.6666666666666666	UNDER	24.5	pts+ast	2.0
NBA	Kris Dunn	0.9047619047619048	UNDER	19	pts	19.0
NBA	Sam Hauser	0.9493670886075949	UNDER	15.5	pts	18.75
NBA	Sam Hauser	0.9493670886075949	UNDER	21.5	pts+trb	18.75
NBA	Shaedon Sharpe	0.9240506329113924	UNDER	9	trb+ast	18.25
NBA	Shaedon Sharpe	0.9113924050632911	UNDER	4	ast	18.0
NBA	Shake Milton	0.9466666666666667	UNDER	8.5	ast	17.75
NBA	JT Thor	0.9411764705882353	UNDER	12.5	pts+ast	16.0
NBA	Paul Reed	0.9411764705882353	UNDER	13.5	pts	16.0
NBA	Paul Reed	0.9264705882352942	UNDER	15	pts+ast	15.75
NBA	Obi Toppin	0.9393939393939394	UNDER	15.5	pts	15.5
NBA	Obi Toppin	0.9393939393939394	UNDER	17.5	pts+ast	15.5
NBA	Obi Toppin	0.9393939393939394	UNDER	22.5	pts+trb+ast	15.5
NBA	Shaedon Sharpe	0.9367088607594937	UNDER	27.5	pts+ast	14.799999999999999
NBA	Raul Neto	0.9361702127659575	UNDER	9.5	pts	14.666666666666668
NBA	Jordan Goodwin	0.9344262295081968	UNDER	14.5	pts	14.25
NBA	Jordan Goodwin	0.9344262295081968	UNDER	20.5	pts+trb	14.25
NBA	Bryce McGowens	0.9333333333333333	UNDER	14.5	pts+ast	14.0
NBA	Jaden Springer	0.9333333333333333	UNDER	14.5	pts	14.0
NBA	Jaden Springer	0.9333333333333333	UNDER	17.5	pts+ast	14.0
NBA	Jaden Springer	0.9333333333333333	UNDER	18.5	pts+trb	14.0
NBA	Jaden Springer	0.9333333333333333	UNDER	21.5	pts+trb+ast	14.0
NBA	Payton Pritchard	0.8723404255319149	UNDER	4	trb	13.666666666666668
NBA	JT Thor	0.9264705882352942	UNDER	15.5	pts+trb	12.6
NBA	Jock Landale	0.9264705882352942	UNDER	8.5	trb	12.6
NBA	Paul Reed	0.9264705882352942	UNDER	23.5	pts+trb	12.6
NBA	Paul Reed	0.9264705882352942	UNDER	24.5	pts+trb+ast	12.6
NBA	Blake Griffin	0.925	UNDER	10.5	trb+ast	12.333333333333334
NBA	Shaedon Sharpe	0.9240506329113924	UNDER	28.5	pts+trb	12.166666666666666
NBA	Jordan Goodwin	0.9180327868852459	UNDER	21.5	pts+ast	11.200000000000001
NBA	Jordan Goodwin	0.9180327868852459	UNDER	12.5	trb+ast	11.200000000000001
NBA	Paul Reed	0.9117647058823529	UNDER	9.5	trb	10.333333333333332
NBA	Shaedon Sharpe	0.9113924050632911	UNDER	22.5	pts	10.285714285714285
NBA	Shaedon Sharpe	0.9113924050632911	UNDER	32.5	pts+trb+ast	10.285714285714285
NBA	Jaden McDaniels	0.9090909090909091	UNDER	16.5	pts+trb	10.0
NBA	Jaden McDaniels	0.9090909090909091	UNDER	18.5	pts+trb+ast	10.0
NBA	Jalen McDaniels	0.9090909090909091	UNDER	16.5	pts	10.0
NBA	Jalen McDaniels	0.9090909090909091	UNDER	18.5	pts+ast	10.0
NBA	Jalen McDaniels	0.9090909090909091	UNDER	24.5	pts+trb	10.0
NBA	Jalen McDaniels	0.9090909090909091	UNDER	26.5	pts+trb+ast	10.0
NBA	Jalen McDaniels	0.9090909090909091	UNDER	7.5	trb	10.0
NBA	Alperen Sengun	0.6621621621621622	UNDER	26.5	pts+trb	1.9600000000000002
NBA	Brandon Ingram	0.6590909090909091	UNDER	33.5	pts+ast	1.9333333333333333
NBA	Brandon Ingram	0.6590909090909091	UNDER	40.5	pts+trb+ast	1.9333333333333333
NBA	Jordan Poole	0.654320987654321	OVER	2.5	tov	1.892857142857143
NBA	Jalen Green	0.6533333333333333	UNDER	25.5	pts	1.8846153846153846
NBA	Killian Hayes	0.6533333333333333	UNDER	3.5	trb	1.8846153846153846
NBA	Karl-Anthony Towns	0.5357142857142857	OVER	4	ast	1.875
NBA	RJ Barrett	0.625	UNDER	31	pts+trb+ast	1.875
NBA	Saddiq Bey	0.6521739130434783	UNDER	16.5	pts+ast	1.875
NBA	Jalen Duren	0.6515151515151515	UNDER	11.5	trb+ast	1.8695652173913042
NBA	Jalen Duren	0.5909090909090909	UNDER	10	trb	1.8571428571428572
NBA	LeBron James	0.6481481481481481	OVER	25.5	pts	1.8421052631578947
