LEAGUE	Player	win%	O/U	line #	stat	win:lose ratio
NBA	Ivica Zubac	0.56	UNDER	21.5	pts+trb+ast	1.272727272727273
NBA	Ivica Zubac	0.56	UNDER	9.5	trb	1.272727272727273
NBA	Killian Hayes	0.56	UNDER	2.5	tov	1.272727272727273
NBA	Herbert Jones	0.4307692307692308	UNDER	4	trb	1.2727272727272727
NBA	Norman Powell	0.559322033898305	UNDER	17.5	pts	1.2692307692307692
NBA	Norman Powell	0.559322033898305	UNDER	20.5	pts+trb	1.2692307692307692
NBA	Klay Thompson	0.5588235294117647	UNDER	29.5	pts+trb+ast	1.2666666666666668
NBA	Quentin Grimes	0.5571428571428572	UNDER	3.5	trb	1.2580645161290323
NBA	Draymond Green	0.5555555555555556	OVER	15.5	pts+trb	1.2500000000000002
NBA	Jordan Poole	0.5555555555555556	OVER	26.5	pts+trb+ast	1.2500000000000002
NBA	RJ Barrett	0.5555555555555556	UNDER	8.5	trb+ast	1.2500000000000002
NBA	Russell Westbrook	0.5555555555555556	UNDER	7.5	ast	1.2500000000000002
NBA	Russell Westbrook	0.5555555555555556	UNDER	12.5	trb+ast	1.2500000000000002
NBA	Mitchell Robinson	0.5517241379310345	UNDER	9.5	trb	1.2307692307692308
NBA	Grant Williams	0.5512820512820513	UNDER	13.5	pts+trb	1.2285714285714286
NBA	Rudy Gobert	0.5507246376811594	UNDER	27.5	pts+trb+ast	1.2258064516129032
NBA	Rudy Gobert	0.5507246376811594	UNDER	12.5	trb	1.2258064516129032
NBA	Eric Gordon	0.55	OVER	12.5	pts+ast	1.2222222222222223
NBA	Eric Gordon	0.55	OVER	0.5	stl	1.2222222222222223
NBA	Donte DiVincenzo	0.5492957746478874	UNDER	1.5	tov	1.21875
NBA	Kawhi Leonard	0.5490196078431373	OVER	1.5	blk+stl	1.2173913043478262
NBA	Corey Kispert	0.547945205479452	UNDER	0.5	ft	1.2121212121212122
NBA	Ivica Zubac	0.5466666666666666	UNDER	20.5	pts+trb	1.2058823529411764
NBA	Jalen Green	0.5466666666666666	UNDER	2.5	fg3	1.2058823529411764
NBA	De'Andre Hunter	0.5454545454545454	OVER	0.5	blk+stl	1.2
NBA	Jarred Vanderbilt	0.5217391304347826	UNDER	6	trb	1.2
NBA	Stephen Curry	0.5454545454545454	OVER	5.5	ast	1.2
NBA	Stephen Curry	0.5454545454545454	OVER	34.5	pts+ast	1.2
NBA	Stephen Curry	0.5454545454545454	OVER	11.5	trb+ast	1.2
NBA	Jordan Poole	0.5432098765432098	UNDER	2.5	fg3	1.1891891891891893
NBA	Jordan Poole	0.5432098765432098	OVER	19.5	pts	1.1891891891891893
NBA	Norman Powell	0.5423728813559322	UNDER	22.5	pts+trb+ast	1.1851851851851851
NBA	Anthony Edwards	0.5	OVER	4	ast	1.1818181818181819
NBA	Draymond Green	0.5416666666666666	UNDER	0.5	blk	1.1818181818181819
NBA	Draymond Green	0.5416666666666666	UNDER	0.5	ft	1.1818181818181819
NBA	Draymond Green	0.5416666666666666	UNDER	8.5	pts	1.1818181818181819
NBA	Draymond Green	0.5416666666666666	UNDER	15.5	pts+ast	1.1818181818181819
NBA	CJ McCollum	0.5405405405405406	UNDER	21.5	pts	1.1764705882352942
NBA	CJ McCollum	0.5405405405405406	UNDER	26.5	pts+trb	1.1764705882352942
NBA	Anthony Edwards	0.5384615384615384	OVER	25.5	pts	1.1666666666666665
NBA	Austin Reaves	0.4603174603174603	UNDER	3	trb	1.16
NBA	Rudy Gobert	0.5362318840579711	OVER	2.5	ft	1.15625
NBA	Rudy Gobert	0.5362318840579711	OVER	13.5	pts	1.15625
NBA	Rudy Gobert	0.5362318840579711	UNDER	25.5	pts+trb	1.15625
NBA	Karl-Anthony Towns	0.5357142857142857	OVER	29.5	pts+trb	1.1538461538461537
NBA	Karl-Anthony Towns	0.5357142857142857	OVER	12.5	trb+ast	1.1538461538461537
NBA	Mitchell Robinson	0.5344827586206896	OVER	7.5	pts	1.1481481481481481
NBA	Mitchell Robinson	0.5344827586206896	OVER	18.5	pts+trb+ast	1.1481481481481481
NBA	Nicolas Batum	0.5324675324675324	UNDER	0.5	stl	1.1388888888888888
NBA	Jordan Poole	0.5308641975308642	OVER	22.5	pts+trb	1.1315789473684212
NBA	Kawhi Leonard	0.5294117647058824	UNDER	31.5	pts+trb	1.125
NBA	Kawhi Leonard	0.5294117647058824	OVER	35.5	pts+trb+ast	1.125
NBA	Klay Thompson	0.5294117647058824	UNDER	1.5	tov	1.125
NBA	CJ McCollum	0.527027027027027	OVER	26.5	pts+ast	1.114285714285714
NBA	CJ McCollum	0.527027027027027	UNDER	4.5	trb	1.114285714285714
NBA	Norman Powell	0.5254237288135594	UNDER	19.5	pts+ast	1.1071428571428572
NBA	Jarred Vanderbilt	0.4782608695652174	OVER	6	pts	1.1
NBA	Mike Conley	0.5238095238095238	OVER	12.5	pts	1.1
NBA	Mike Conley	0.5238095238095238	OVER	17.5	pts+ast	1.1
NBA	Mike Conley	0.5238095238095238	OVER	20.5	pts+trb+ast	1.1
NBA	Rudy Gobert	0.5217391304347826	OVER	15.5	pts+ast	1.0909090909090908
NBA	Saddiq Bey	0.5217391304347826	UNDER	19.5	pts+trb	1.0909090909090908
NBA	Saddiq Bey	0.5217391304347826	UNDER	21.5	pts+trb+ast	1.0909090909090908
NBA	Ivica Zubac	0.5066666666666667	UNDER	11	pts	1.0857142857142859
NBA	Jaden Ivey	0.5205479452054794	UNDER	3.5	ft	1.0857142857142856
NBA	Ivica Zubac	0.52	OVER	11.5	pts+ast	1.0833333333333335
